value,hour,site,season,var
0.15109253,21,UK-MCR,Summer,TBUILD
0.15045166,22,UK-MCR,Summer,TBUILD
0.15405273,23,UK-MCR,Summer,TBUILD
0.3334309,0,UK-MCR,Winter,TRAFFICFLUX
0.16673407,1,UK-MCR,Winter,TRAFFICFLUX
0.16665019,2,UK-MCR,Winter,TRAFFICFLUX
0.0,3,UK-MCR,Winter,TRAFFICFLUX
0.00016567836,4,UK-MCR,Winter,TRAFFICFLUX
0.0003692684,5,UK-MCR,Winter,TRAFFICFLUX
0.0004732676,6,UK-MCR,Winter,TRAFFICFLUX
0.16731398,7,UK-MCR,Winter,TRAFFICFLUX
0.33438492,8,UK-MCR,Winter,TRAFFICFLUX
0.50119,9,UK-MCR,Winter,TRAFFICFLUX
0.6680765,10,UK-MCR,Winter,TRAFFICFLUX
0.6683839,11,UK-MCR,Winter,TRAFFICFLUX
0.8334349,12,UK-MCR,Winter,TRAFFICFLUX
0.8326623,13,UK-MCR,Winter,TRAFFICFLUX
0.8325968,14,UK-MCR,Winter,TRAFFICFLUX
0.833709,15,UK-MCR,Winter,TRAFFICFLUX
1.0,16,UK-MCR,Winter,TRAFFICFLUX
0.9998083,17,UK-MCR,Winter,TRAFFICFLUX
0.99985313,18,UK-MCR,Winter,TRAFFICFLUX
0.83268154,19,UK-MCR,Winter,TRAFFICFLUX
0.66616535,20,UK-MCR,Winter,TRAFFICFLUX
0.4995481,21,UK-MCR,Winter,TRAFFICFLUX
0.4999539,22,UK-MCR,Winter,TRAFFICFLUX
0.5005316,23,UK-MCR,Winter,TRAFFICFLUX
0.5155029,0,UK-MCR,Winter,TG_U
0.4682312,1,UK-MCR,Winter,TG_U
0.4487915,2,UK-MCR,Winter,TG_U
0.3980713,3,UK-MCR,Winter,TG_U
0.36166382,4,UK-MCR,Winter,TG_U
0.33596802,5,UK-MCR,Winter,TG_U
0.32504272,6,UK-MCR,Winter,TG_U
0.34194946,7,UK-MCR,Winter,TG_U
0.37994385,8,UK-MCR,Winter,TG_U
0.43319702,9,UK-MCR,Winter,TG_U
0.54244995,10,UK-MCR,Winter,TG_U
0.5685425,11,UK-MCR,Winter,TG_U
0.57662964,12,UK-MCR,Winter,TG_U
0.5528259,13,UK-MCR,Winter,TG_U
0.52511597,14,UK-MCR,Winter,TG_U
0.5117798,15,UK-MCR,Winter,TG_U
0.53564453,16,UK-MCR,Winter,TG_U
0.552063,17,UK-MCR,Winter,TG_U
0.58218384,18,UK-MCR,Winter,TG_U
0.5886841,19,UK-MCR,Winter,TG_U
0.58029175,20,UK-MCR,Winter,TG_U
0.5556946,21,UK-MCR,Winter,TG_U
0.55496216,22,UK-MCR,Winter,TG_U
0.5455322,23,UK-MCR,Winter,TG_U
0.46295166,0,UK-MCR,Winter,TSA_U
0.42443848,1,UK-MCR,Winter,TSA_U
0.39511108,2,UK-MCR,Winter,TSA_U
0.37039185,3,UK-MCR,Winter,TSA_U
0.3269348,4,UK-MCR,Winter,TSA_U
0.29208374,5,UK-MCR,Winter,TSA_U
0.27441406,6,UK-MCR,Winter,TSA_U
0.2710266,7,UK-MCR,Winter,TSA_U
0.2963562,8,UK-MCR,Winter,TSA_U
0.34747314,9,UK-MCR,Winter,TSA_U
0.39990234,10,UK-MCR,Winter,TSA_U
0.45263672,11,UK-MCR,Winter,TSA_U
0.44152832,12,UK-MCR,Winter,TSA_U
0.3774109,13,UK-MCR,Winter,TSA_U
0.31918335,14,UK-MCR,Winter,TSA_U
0.27456665,15,UK-MCR,Winter,TSA_U
0.24700928,16,UK-MCR,Winter,TSA_U
0.260437,17,UK-MCR,Winter,TSA_U
0.29989624,18,UK-MCR,Winter,TSA_U
0.39572144,19,UK-MCR,Winter,TSA_U
0.42767334,20,UK-MCR,Winter,TSA_U
0.462677,21,UK-MCR,Winter,TSA_U
0.4654541,22,UK-MCR,Winter,TSA_U
0.45913696,23,UK-MCR,Winter,TSA_U
0.0,0,UK-MCR,Winter,TBUILD
0.0,1,UK-MCR,Winter,TBUILD
0.0,2,UK-MCR,Winter,TBUILD
0.0,3,UK-MCR,Winter,TBUILD
0.0,4,UK-MCR,Winter,TBUILD
0.0,5,UK-MCR,Winter,TBUILD
0.0,6,UK-MCR,Winter,TBUILD
0.0,7,UK-MCR,Winter,TBUILD
0.0,8,UK-MCR,Winter,TBUILD
0.0,9,UK-MCR,Winter,TBUILD
0.0,10,UK-MCR,Winter,TBUILD
0.0,11,UK-MCR,Winter,TBUILD
0.0,12,UK-MCR,Winter,TBUILD
0.0,13,UK-MCR,Winter,TBUILD
0.0,14,UK-MCR,Winter,TBUILD
0.0,15,UK-MCR,Winter,TBUILD
0.0,16,UK-MCR,Winter,TBUILD
0.0,17,UK-MCR,Winter,TBUILD
0.0,18,UK-MCR,Winter,TBUILD
0.0,19,UK-MCR,Winter,TBUILD
0.0,20,UK-MCR,Winter,TBUILD
0.0,21,UK-MCR,Winter,TBUILD
0.0,22,UK-MCR,Winter,TBUILD
0.0,23,UK-MCR,Winter,TBUILD
